Model,Language,Mode,Trait,SenID,Error,Correction
Gemma,sp,Implicit,SelfConfident,24,muable,mudable
Gemma,sp,Implicit,SelfConfident,25,muable,mudable
Gemma,sp,Implicit,SelfConfident,26,mirable,-
Gemma,sp,Implicit,SelfConfident,27,muable,mudable
Gemma,sp,Implicit,SelfConfident,30,muable,mudable
Gemma,sp,Implicit,SelfConfident,31,muable,mudable
Gemma,sp,Implicit,SelfConfident,32,cicunspecto,circunspecto
Gemma,sp,Implicit,SelfConfident,33,muable,mudable
Gemma,sp,Implicit,SelfConfident,34,muable,mudable
Gemma,sp,Implicit,SelfConfident,36,incerto,incierto
Gemma,sp,Implicit,SelfConfident,37,muable,mudable
Gemma,sp,Implicit,SelfConfident,38,mirable,-
Gemma,sp,Implicit,SelfConfident,39,incerto,incierto
Gemma,sp,Implicit,SelfConfident,40,muable,mudable
Gemma,sp,Implicit,SelfConfident,41,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,42,mirable,-
Gemma,sp,Implicit,SelfConfident,43,incerto,incierto
Gemma,sp,Implicit,SelfConfident,44,muable,mudable
Gemma,sp,Implicit,SelfConfident,45,muable,mudable
Gemma,sp,Implicit,SelfConfident,46,muable,mudable
Gemma,sp,Implicit,SelfConfident,47,cicunspecto,circunspecto
Gemma,sp,Implicit,SelfConfident,47,muable,mudable
Gemma,sp,Implicit,SelfConfident,48,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,49,muable,mudable
Gemma,sp,Implicit,SelfConfident,51,mirable,-
Gemma,sp,Implicit,SelfConfident,52,muable,mudable
Gemma,sp,Implicit,SelfConfident,53,muable,mudable
Gemma,sp,Implicit,SelfConfident,54,muable,mudable
Gemma,sp,Implicit,SelfConfident,55,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,56,muable,mudable
Gemma,sp,Implicit,SelfConfident,57,muable,mudable
Gemma,sp,Implicit,SelfConfident,59,muable,mudable
Gemma,sp,Implicit,SelfConfident,61,muable,mudable
Gemma,sp,Implicit,SelfConfident,62,mirable,-
Gemma,sp,Implicit,SelfConfident,63,muable,mudable
Gemma,sp,Implicit,SelfConfident,65,muable,mudable
Gemma,sp,Implicit,SelfConfident,66,muable,mudable
Gemma,sp,Implicit,SelfConfident,67,muable,mudable
Gemma,sp,Implicit,SelfConfident,69,muable,mudable
Gemma,sp,Implicit,SelfConfident,70,mirable,-
Gemma,sp,Implicit,SelfConfident,71,muable,mudable
Gemma,sp,Implicit,SelfConfident,74,muable,mudable
Gemma,sp,Implicit,SelfConfident,75,incerto,incierto
Gemma,sp,Implicit,SelfConfident,77,mirable,-
Gemma,sp,Implicit,SelfConfident,78,muable,mudable
Gemma,sp,Implicit,SelfConfident,79,muable,mudable
Gemma,sp,Implicit,SelfConfident,81,muable,mudable
Gemma,sp,Implicit,SelfConfident,82,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,83,muable,mudable
Gemma,sp,Implicit,SelfConfident,84,muable,mudable
Gemma,sp,Implicit,SelfConfident,86,muable,mudable
Gemma,sp,Implicit,SelfConfident,88,mirable,-
Gemma,sp,Implicit,SelfConfident,89,muable,mudable
Gemma,sp,Implicit,SelfConfident,90,muable,mudable
Gemma,sp,Implicit,SelfConfident,91,mirable,-
Gemma,sp,Implicit,SelfConfident,92,muable,mudable
Gemma,sp,Implicit,SelfConfident,93,muable,mudable
Gemma,sp,Implicit,SelfConfident,94,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,95,muable,mudable
Gemma,sp,Implicit,SelfConfident,96,muable,mudable
Gemma,sp,Implicit,SelfConfident,98,muable,mudable
Gemma,sp,Implicit,SelfConfident,100,mirable,-
Gemma,sp,Implicit,SelfConfident,101,muable,mudable
Gemma,sp,Implicit,SelfConfident,103,muable,mudable
Gemma,sp,Implicit,SelfConfident,105,muable,mudable
Gemma,sp,Implicit,SelfConfident,106,incerto,incierto
Gemma,sp,Implicit,SelfConfident,107,mirable,-
Gemma,sp,Implicit,SelfConfident,108,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,109,muable,mudable
Gemma,sp,Implicit,SelfConfident,110,muable,mudable
Gemma,sp,Implicit,SelfConfident,111,muable,mudable
Gemma,sp,Implicit,SelfConfident,112,muable,mudable
Gemma,sp,Implicit,SelfConfident,113,muable,mudable
Gemma,sp,Implicit,SelfConfident,114,muable,mudable
Gemma,sp,Implicit,SelfConfident,115,muable,mudable
Gemma,sp,Implicit,SelfConfident,116,muable,mudable
Gemma,sp,Implicit,SelfConfident,117,muable,mudable
Gemma,sp,Implicit,SelfConfident,119,muable,mudable
Gemma,sp,Implicit,SelfConfident,120,mutable,-
Gemma,sp,Implicit,SelfConfident,121,incerto,incierto
Gemma,sp,Implicit,SelfConfident,122,muable,mudable
Gemma,sp,Implicit,SelfConfident,123,muable,mudable
Gemma,sp,Implicit,SelfConfident,124,muable,mudable
Gemma,sp,Implicit,SelfConfident,125,muable,mudable
Gemma,sp,Implicit,SelfConfident,126,muable,mudable
Gemma,sp,Implicit,SelfConfident,127,incerto,incierto
Gemma,sp,Implicit,SelfConfident,128,muable,mudable
Gemma,sp,Implicit,SelfConfident,129,muable,mudable
Gemma,sp,Implicit,SelfConfident,130,muable,mudable
Gemma,sp,Implicit,SelfConfident,131,muable,mudable
Gemma,sp,Implicit,SelfConfident,132,muable,mudable
Gemma,sp,Implicit,SelfConfident,133,muable,mudable
Gemma,sp,Implicit,SelfConfident,134,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,135,muable,mudable
Gemma,sp,Implicit,SelfConfident,136,muable,mudable
Gemma,sp,Implicit,SelfConfident,137,incerto,incierto
Gemma,sp,Implicit,SelfConfident,138,muable,mudable
Gemma,sp,Implicit,SelfConfident,139,muable,mudable
Gemma,sp,Implicit,SelfConfident,140,muable,mudable
Gemma,sp,Implicit,SelfConfident,142,muable,mudable
Gemma,sp,Implicit,SelfConfident,143,incerto,incierto
Gemma,sp,Implicit,SelfConfident,145,mirable,-
Gemma,sp,Implicit,SelfConfident,146,muable,mudable
Gemma,sp,Implicit,SelfConfident,147,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,149,muable,mudable
Gemma,sp,Implicit,SelfConfident,150,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,151,muable,mudable
Gemma,sp,Implicit,SelfConfident,153,muable,mudable
Gemma,sp,Implicit,SelfConfident,155,muable,mudable
Gemma,sp,Implicit,SelfConfident,156,muable,mudable
Gemma,sp,Implicit,SelfConfident,157,muable,mudable
Gemma,sp,Implicit,SelfConfident,159,muable,mudable
Gemma,sp,Implicit,SelfConfident,160,mirable,-
Gemma,sp,Implicit,SelfConfident,162,muable,mudable
Gemma,sp,Implicit,SelfConfident,163,incerto,incierto
Gemma,sp,Implicit,SelfConfident,165,muable,mudable
Gemma,sp,Implicit,SelfConfident,166,mirable,-
Gemma,sp,Implicit,SelfConfident,167,muable,mudable
Gemma,sp,Implicit,SelfConfident,168,muable,mudable
Gemma,sp,Implicit,SelfConfident,169,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,170,muable,mudable
Gemma,sp,Implicit,SelfConfident,171,muable,mudable
Gemma,sp,Implicit,SelfConfident,172,muable,mudable
Gemma,sp,Implicit,SelfConfident,174,muable,mudable
Gemma,sp,Implicit,SelfConfident,175,muable,mudable
Gemma,sp,Implicit,SelfConfident,176,muable,mudable
Gemma,sp,Implicit,SelfConfident,177,incerto,incierto
Gemma,sp,Implicit,SelfConfident,179,mirable,-
Gemma,sp,Implicit,SelfConfident,180,muable,mudable
Gemma,sp,Implicit,SelfConfident,181,muable,mudable
Gemma,sp,Implicit,SelfConfident,182,muable,mudable
Gemma,sp,Implicit,SelfConfident,183,muable,mudable
Gemma,sp,Implicit,SelfConfident,184,incerto,incierto
Gemma,sp,Implicit,SelfConfident,187,muable,mudable
Gemma,sp,Implicit,SelfConfident,189,incerto,incierto
Gemma,sp,Implicit,SelfConfident,190,muable,mudable
Gemma,sp,Implicit,SelfConfident,191,mirable,-
Gemma,sp,Implicit,SelfConfident,192,muable,mudable
Gemma,sp,Implicit,SelfConfident,193,muable,mudable
Gemma,sp,Implicit,SelfConfident,194,muable,mudable
Gemma,sp,Implicit,SelfConfident,195,muable,mudable
Gemma,sp,Implicit,SelfConfident,198,incerto,incierto
Gemma,sp,Implicit,SelfConfident,199,muable,mudable
Gemma,sp,Implicit,SelfConfident,200,muable,mudable
Gemma,sp,Explicit,SelfConfident,3,muable,mudable
Gemma,sp,Explicit,SelfConfident,5,muable,mudable
Gemma,sp,Explicit,SelfConfident,6,mirable,-
Gemma,sp,Explicit,SelfConfident,7,muable,mudable
Gemma,sp,Explicit,SelfConfident,9,muable,mudable
Gemma,sp,Explicit,SelfConfident,11,mirable,-
Gemma,sp,Explicit,SelfConfident,12,muable,mudable
Gemma,sp,Explicit,SelfConfident,15,muable,mudable
Gemma,sp,Explicit,SelfConfident,17,muable,mudable
Gemma,sp,Explicit,SelfConfident,19,mmutable,mudable
Gemma,sp,Explicit,SelfConfident,22,mirable,-
Gemma,sp,Explicit,SelfConfident,27,muable,mudable
Gemma,sp,Explicit,SelfConfident,28,muable,mudable
Gemma,sp,Explicit,SelfConfident,30,muable,mudable
Gemma,sp,Explicit,SelfConfident,32,muable,mudable
Gemma,sp,Explicit,SelfConfident,33,muable,mudable
Gemma,sp,Explicit,SelfConfident,35,muable,mudable
Gemma,sp,Explicit,SelfConfident,36,muable,mudable
Gemma,sp,Explicit,SelfConfident,39,muable,mudable
Gemma,sp,Explicit,SelfConfident,45,muable,mudable
Gemma,sp,Explicit,SelfConfident,46,mmutable,mudable
Gemma,sp,Explicit,SelfConfident,50,muable,mudable
Gemma,sp,Implicit,Trustworthy,2,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,3,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,4,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,4,innobre,innoble
Gemma,sp,Implicit,Trustworthy,5,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,5,innobre,innoble
Gemma,sp,Implicit,Trustworthy,6,innobre,innoble
Gemma,sp,Implicit,Trustworthy,6,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,7,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,8,innobre,innoble
Gemma,sp,Implicit,Trustworthy,8,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,9,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,10,innobre,innoble
Gemma,sp,Implicit,Trustworthy,10,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,12,innobre,innoble
Gemma,sp,Implicit,Trustworthy,12,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,13,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,14,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,14,innobre,innoble
Gemma,sp,Implicit,Trustworthy,15,innobre,innoble
Gemma,sp,Implicit,Trustworthy,15,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,16,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,16,innobre,innoble
Gemma,sp,Implicit,Trustworthy,17,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,17,innobre,innoble
Gemma,sp,Implicit,Trustworthy,18,innobre,innoble
Gemma,sp,Implicit,Trustworthy,18,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,19,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,20,innobre,innoble
Gemma,sp,Implicit,Trustworthy,20,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,21,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,22,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,23,innobre,innoble
Gemma,sp,Implicit,Trustworthy,23,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,24,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,24,innobre,innoble
Gemma,sp,Implicit,Trustworthy,25,innobre,innoble
Gemma,sp,Implicit,Trustworthy,25,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,26,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,26,innobre,innoble
Gemma,sp,Implicit,Trustworthy,27,innobre,innoble
Gemma,sp,Implicit,Trustworthy,27,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,28,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,29,innobre,innoble
Gemma,sp,Implicit,Trustworthy,29,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,30,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,31,innobre,innoble
Gemma,sp,Implicit,Trustworthy,31,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,32,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,33,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,33,innobre,innoble
Gemma,sp,Implicit,Trustworthy,34,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,35,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,35,innobre,innoble
Gemma,sp,Implicit,Trustworthy,36,innobre,innoble
Gemma,sp,Implicit,Trustworthy,36,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,37,innobre,innoble
Gemma,sp,Implicit,Trustworthy,37,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,38,innobre,innoble
Gemma,sp,Implicit,Trustworthy,38,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,39,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,40,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,41,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,42,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,43,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,43,innobre,innoble
Gemma,sp,Implicit,Trustworthy,46,innobre,innoble
Gemma,sp,Implicit,Trustworthy,46,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,48,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,49,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,50,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,50,innobre,innoble
Gemma,sp,Implicit,Trustworthy,51,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,52,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,52,innobre,innoble
Gemma,sp,Implicit,Trustworthy,53,innobre,innoble
Gemma,sp,Implicit,Trustworthy,53,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,54,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,54,innobre,innoble
Gemma,sp,Implicit,Trustworthy,55,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,56,innobre,innoble
Gemma,sp,Implicit,Trustworthy,56,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,57,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,57,innobre,innoble
Gemma,sp,Implicit,Trustworthy,59,innobre,innoble
Gemma,sp,Implicit,Trustworthy,59,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,60,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,61,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,61,innobre,innoble
Gemma,sp,Implicit,Trustworthy,62,innobre,innoble
Gemma,sp,Implicit,Trustworthy,62,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,63,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,64,innobre,innoble
Gemma,sp,Implicit,Trustworthy,64,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,65,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,65,innobre,innoble
Gemma,sp,Implicit,Trustworthy,66,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,66,innobre,innoble
Gemma,sp,Implicit,Trustworthy,67,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,68,innobre,innoble
Gemma,sp,Implicit,Trustworthy,68,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,69,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,71,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,72,innobre,innoble
Gemma,sp,Implicit,Trustworthy,72,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,73,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,73,innobre,innoble
Gemma,sp,Implicit,Trustworthy,75,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,76,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,77,innobre,innoble
Gemma,sp,Implicit,Trustworthy,77,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,78,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,78,innobre,innoble
Gemma,sp,Implicit,Trustworthy,79,innobre,innoble
Gemma,sp,Implicit,Trustworthy,79,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,80,innobre,innoble
Gemma,sp,Implicit,Trustworthy,80,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,81,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,81,innobre,innoble
Gemma,sp,Implicit,Trustworthy,82,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,82,innobre,innoble
Gemma,sp,Implicit,Trustworthy,83,innobre,innoble
Gemma,sp,Implicit,Trustworthy,83,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,84,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,84,innobre,innoble
Gemma,sp,Implicit,Trustworthy,85,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,85,innobre,innoble
Gemma,sp,Implicit,Trustworthy,86,innobre,innoble
Gemma,sp,Implicit,Trustworthy,86,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,87,innobre,innoble
Gemma,sp,Implicit,Trustworthy,87,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,88,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,88,innobre,innoble
Gemma,sp,Implicit,Trustworthy,89,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,90,innobre,innoble
Gemma,sp,Implicit,Trustworthy,90,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,91,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,91,innobre,innoble
Gemma,sp,Implicit,Trustworthy,93,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,93,innobre,innoble
Gemma,sp,Implicit,Trustworthy,94,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,94,innobre,innoble
Gemma,sp,Implicit,Trustworthy,95,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,96,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,97,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,97,innobre,innoble
Gemma,sp,Implicit,Trustworthy,98,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,100,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,101,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,102,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,103,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,103,innobre,innoble
Gemma,sp,Implicit,Trustworthy,104,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,105,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,106,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,107,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,107,innobre,innoble
Gemma,sp,Implicit,Trustworthy,108,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,108,innobre,innoble
Gemma,sp,Implicit,Trustworthy,109,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,110,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,111,innobre,innoble
Gemma,sp,Implicit,Trustworthy,111,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,112,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,113,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,114,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,115,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,116,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,116,innobre,innoble
Gemma,sp,Implicit,Trustworthy,118,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,118,innobre,innoble
Gemma,sp,Implicit,Trustworthy,119,innobre,innoble
Gemma,sp,Implicit,Trustworthy,119,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,120,innobre,innoble
Gemma,sp,Implicit,Trustworthy,120,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,121,innobre,innoble
Gemma,sp,Implicit,Trustworthy,121,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,122,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,123,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,123,innobre,innoble
Gemma,sp,Implicit,Trustworthy,124,innobre,innoble
Gemma,sp,Implicit,Trustworthy,124,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,125,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,125,innobre,innoble
Gemma,sp,Implicit,Trustworthy,126,innobre,innoble
Gemma,sp,Implicit,Trustworthy,126,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,127,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,127,innobre,innoble
Gemma,sp,Implicit,Trustworthy,128,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,129,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,129,innobre,innoble
Gemma,sp,Implicit,Trustworthy,131,dehonrado,deshonrado
Gemma,sp,Implicit,Trustworthy,132,dehonrado,deshonrado
